,year,density,clustering,preferential_edges,jacc_edges
0,1734,0.2761904761904762,0.633,0.0,0.0
1,1735,0.060641627543035995,0.777,0.0,0.0
2,1736,0.04308390022675737,0.781,0.0,0.0
3,1737,0.0411570568821588,0.802,0.0,0.0
4,1738,0.027811777505779955,0.779,0.0,0.02
5,1739,0.01730103806228374,0.817,0.0,0.04
6,1740,0.013171951358108875,0.814,0.02,0.12
7,1741,0.011836102965135223,0.828,0.0,0.09
8,1742,0.011015382979006288,0.798,0.0,0.06
9,1743,0.010381081009507163,0.808,0.01,0.08
10,1744,0.009230195094644745,0.842,0.0,0.06
11,1745,0.008476120396650197,0.821,0.01,0.08
12,1746,0.008476120396650197,0.825,0.0,0.0
