,congregation,year,modularity,count
0,sleepyhollow-drc,1697,0,1
1,sleepyhollow-drc,1697,1,0
2,sleepyhollow-drc,1697,2,5
3,sleepyhollow-drc,1697,3,9
4,sleepyhollow-drc,1697,4,4
5,sleepyhollow-drc,1697,5,6
6,sleepyhollow-drc,1697,6,4
7,sleepyhollow-drc,1697,7,3
8,sleepyhollow-drc,1697,8,0
9,sleepyhollow-drc,1697,9,0
10,sleepyhollow-drc,1697,10,0
11,sleepyhollow-drc,1697,11,1
12,sleepyhollow-drc,1697,12,0
13,sleepyhollow-drc,1697,13,0
14,sleepyhollow-drc,1697,14,0
15,sleepyhollow-drc,1697,15,0
16,sleepyhollow-drc,1698,0,1
17,sleepyhollow-drc,1698,1,0
18,sleepyhollow-drc,1698,2,8
19,sleepyhollow-drc,1698,3,11
20,sleepyhollow-drc,1698,4,12
21,sleepyhollow-drc,1698,5,11
22,sleepyhollow-drc,1698,6,7
23,sleepyhollow-drc,1698,7,8
24,sleepyhollow-drc,1698,8,3
25,sleepyhollow-drc,1698,9,2
26,sleepyhollow-drc,1698,10,1
27,sleepyhollow-drc,1698,11,1
28,sleepyhollow-drc,1698,12,0
29,sleepyhollow-drc,1698,13,0
30,sleepyhollow-drc,1698,14,0
31,sleepyhollow-drc,1698,15,0
32,sleepyhollow-drc,1699,0,1
33,sleepyhollow-drc,1699,1,0
34,sleepyhollow-drc,1699,2,8
35,sleepyhollow-drc,1699,3,13
36,sleepyhollow-drc,1699,4,12
37,sleepyhollow-drc,1699,5,13
38,sleepyhollow-drc,1699,6,8
39,sleepyhollow-drc,1699,7,8
40,sleepyhollow-drc,1699,8,10
41,sleepyhollow-drc,1699,9,2
42,sleepyhollow-drc,1699,10,1
43,sleepyhollow-drc,1699,11,1
44,sleepyhollow-drc,1699,12,0
45,sleepyhollow-drc,1699,13,0
46,sleepyhollow-drc,1699,14,0
47,sleepyhollow-drc,1699,15,0
48,sleepyhollow-drc,1700,0,3
49,sleepyhollow-drc,1700,1,0
50,sleepyhollow-drc,1700,2,9
51,sleepyhollow-drc,1700,3,14
52,sleepyhollow-drc,1700,4,12
53,sleepyhollow-drc,1700,5,13
54,sleepyhollow-drc,1700,6,9
55,sleepyhollow-drc,1700,7,10
56,sleepyhollow-drc,1700,8,12
57,sleepyhollow-drc,1700,9,2
58,sleepyhollow-drc,1700,10,1
59,sleepyhollow-drc,1700,11,1
60,sleepyhollow-drc,1700,12,0
61,sleepyhollow-drc,1700,13,0
62,sleepyhollow-drc,1700,14,0
63,sleepyhollow-drc,1700,15,0
64,sleepyhollow-drc,1701,0,4
65,sleepyhollow-drc,1701,1,0
66,sleepyhollow-drc,1701,2,9
67,sleepyhollow-drc,1701,3,14
68,sleepyhollow-drc,1701,4,16
69,sleepyhollow-drc,1701,5,18
70,sleepyhollow-drc,1701,6,11
71,sleepyhollow-drc,1701,7,15
72,sleepyhollow-drc,1701,8,12
73,sleepyhollow-drc,1701,9,2
74,sleepyhollow-drc,1701,10,1
75,sleepyhollow-drc,1701,11,1
76,sleepyhollow-drc,1701,12,0
77,sleepyhollow-drc,1701,13,0
78,sleepyhollow-drc,1701,14,0
79,sleepyhollow-drc,1701,15,0
80,sleepyhollow-drc,1702,0,4
81,sleepyhollow-drc,1702,1,0
82,sleepyhollow-drc,1702,2,12
83,sleepyhollow-drc,1702,3,17
84,sleepyhollow-drc,1702,4,19
85,sleepyhollow-drc,1702,5,20
86,sleepyhollow-drc,1702,6,13
87,sleepyhollow-drc,1702,7,17
88,sleepyhollow-drc,1702,8,16
89,sleepyhollow-drc,1702,9,2
90,sleepyhollow-drc,1702,10,3
91,sleepyhollow-drc,1702,11,1
92,sleepyhollow-drc,1702,12,0
93,sleepyhollow-drc,1702,13,0
94,sleepyhollow-drc,1702,14,0
95,sleepyhollow-drc,1702,15,0
96,sleepyhollow-drc,1703,0,5
97,sleepyhollow-drc,1703,1,0
98,sleepyhollow-drc,1703,2,12
99,sleepyhollow-drc,1703,3,19
100,sleepyhollow-drc,1703,4,19
101,sleepyhollow-drc,1703,5,21
102,sleepyhollow-drc,1703,6,13
103,sleepyhollow-drc,1703,7,17
104,sleepyhollow-drc,1703,8,16
105,sleepyhollow-drc,1703,9,2
106,sleepyhollow-drc,1703,10,3
107,sleepyhollow-drc,1703,11,4
108,sleepyhollow-drc,1703,12,0
109,sleepyhollow-drc,1703,13,0
110,sleepyhollow-drc,1703,14,0
111,sleepyhollow-drc,1703,15,0
112,sleepyhollow-drc,1704,0,5
113,sleepyhollow-drc,1704,1,0
114,sleepyhollow-drc,1704,2,14
