,year,year_count,congregation,denomination,density,clustering,gender_assort,degree_assort,mod_assort,male_bridges,female_bridges,male-female,male-male,female-female,male,female,nodes,bridge_pct,network_pct
0,1677,1,flatbush-drc,dutch reformed,0.06387921022067364,0.755,-0.23677248677248688,0.050533584431889544,0.7915087187263078,2,1,0.3090909090909091,0.2,0.18181818181818182,20,22,42,0.3333333333333333,0.5238095238095238
1,1678,2,flatbush-drc,dutch reformed,0.01665986672106623,0.675,-0.19906715498694358,0.07038374471837083,0.8071625344352619,12,13,0.2938775510204082,0.23265306122448978,0.15918367346938775,93,77,172,0.52,0.4476744186046512
2,1679,3,flatbush-drc,dutch reformed,0.009561635775228007,0.633,-0.18444790046656326,0.11602234676885056,0.8018867924528302,25,30,0.2934065934065934,0.21978021978021978,0.1824175824175824,163,144,309,0.5454545454545454,0.46601941747572817
3,1680,4,flatbush-drc,dutch reformed,0.00856760374832664,0.688,-0.20104306214820108,0.05300938452501494,0.7833339589799722,36,33,0.2982336956521739,0.22146739130434784,0.17527173913043478,218,195,415,0.4782608695652174,0.46987951807228917
4,1681,5,flatbush-drc,dutch reformed,0.007416063349893263,0.696,-0.2174298980511019,0.07215982326268695,0.7977710608785953,36,32,0.3028169014084507,0.21830985915492956,0.17165492957746478,294,258,554,0.47058823529411764,0.4657039711191336
5,1682,6,flatbush-drc,dutch reformed,0.00663443687389858,0.673,-0.21848031697084588,0.0732873150532141,0.7940281208329348,35,32,0.3029119318181818,0.2159090909090909,0.17258522727272727,342,307,652,0.47761194029850745,0.4708588957055215
6,1683,7,flatbush-drc,dutch reformed,0.0066946105405351715,0.667,-0.22598943659869866,0.039092936784372076,0.7918324806470284,31,23,0.3050445103857567,0.21305637982195846,0.17210682492581603,368,339,710,0.42592592592592593,0.47746478873239434
7,1684,8,flatbush-drc,dutch reformed,0.0067741935483870966,0.676,-0.23180276985069295,0.04323930590201191,0.7994832298353188,25,18,0.30657830142366227,0.21354933726067746,0.16936671575846834,400,373,776,0.4186046511627907,0.4806701030927835
8,1685,9,flatbush-drc,dutch reformed,0.006422650398915483,0.704,-0.23479532251168336,0.057424023777466394,0.8048591327660916,27,27,0.30730968858131485,0.21496539792387542,0.16695501730103807,436,410,849,0.5,0.4829210836277974
9,1686,10,flatbush-drc,dutch reformed,0.006335373264239769,0.709,-0.2355309567307144,0.06381712883905001,0.8066919730945417,28,28,0.30752871118672903,0.21437686091025096,0.16716290940025522,443,416,862,0.5,0.48259860788863107
